host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
88%,,2.00,48.85959,2.38141,Paris,75011,Ile-de-France,2,Entire home/apt,1,1.5,1,71 ,54,447,3,730,268
100%,,1.00,48.88929,2.3518,Paris,75018,Île-de-France,3,Entire home/apt,2,2.5,1,160 ,150,1000,2,60,15
67%,,1.00,48.83631,2.40076,Paris,75012,Ile-de-France,2,Private room,1,1,1,48 ,30,200,3,8,6
100%,,2.00,48.86756,2.36909,Paris,75011,Île-de-France,3,Entire home/apt,2,1.5,2,130 ,,700,7,100,16
100%,,1.00,48.8588,2.36659,Paris,75003,Île-de-France,4,Entire home/apt,1,1,1,120 ,50,800,3,10,105
100%,,1.00,48.89057,2.35902,Paris,75018,Ile-de-France,3,Entire home/apt,1,1,1,61 ,22,120,2,20,21
89%,,2.00,48.87937,2.34331,Paris,75009,Ile-de-France,2,Entire home/apt,1,1,1,110 ,25,,2,21,52
100%,,1.00,48.87204,2.31421,Paris,75008,Île-de-France,4,Entire home/apt,1,2,2,360 ,150,500,1,45,14
90%,,5.00,48.85816,2.36028,Paris,75004,Ile-de-France,2,Entire home/apt,0,1,1,117 ,60,,6,365,57
100%,,1.00,48.87516,2.38382,Paris,75019,Ile-de-France,5,Entire home/apt,2,1.5,2,150 ,35,1500,4,305,45
100%,,3.00,48.84618,2.30445,Paris,75015,Ile-de-France,2,Private room,1,1,1,31 ,,,2,365,256
100%,,2.00,48.8397,2.30442,Paris,75015,Ile-de-France,14,Entire home/apt,5,2,8,630 ,150,1000,6,60,28
100%,,4.00,48.84488,2.33036,Paris,75006,Ile-de-France,2,Entire home/apt,1,1,1,150 ,,,2,60,275
90%,,1.00,48.87082,2.29138,Paris,75116,Ile-de-France,2,Entire home/apt,1,1,1,65 ,40,450,2,40,187
100%,,1.00,48.83329,2.33063,Paris,75014,Ile-de-France,6,Entire home/apt,3,2,3,99 ,100,4288,1,14,4
100%,,1.00,48.89368,2.38419,Paris,75019,Île-de-France,4,Entire home/apt,1,1,1,120 ,40,700,3,31,12
100%,,1.00,48.88741,2.34924,Paris,75018,Ile-de-France,4,Entire home/apt,1,1,2,70 ,30,200,3,20,34
,,2.00,48.87332,2.38002,Paris,75019,Ile-de-France,4,Entire home/apt,2,1,2,120 ,50,300,2,1125,29
100%,,1.00,48.87477,2.36314,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,103 ,40,400,4,31,90
90%,,7.00,48.88935,2.37959,Paris,75019,Île-de-France,5,Entire home/apt,2,1,2,105 ,50,700,5,14,20
100%,,1.00,48.87676,2.29362,Paris,75017,Ile-de-France,4,Entire home/apt,1,1,2,80 ,30,800,5,27,160
100%,,1.00,48.89523,2.3231,Paris,75017,Île-de-France,4,Entire home/apt,1,1,1,60 ,40,1000,4,30,1
100%,,1.00,48.8763,2.29428,Paris,75017,Ile-de-France,6,Entire home/apt,3,2,4,290 ,0,300,6,30,60
92%,,3.00,48.84809,2.29797,Paris,75015,Ile-de-France,1,Entire home/apt,1,1,1,44 ,20,0,7,730,5
100%,,1.00,48.85082,2.34951,Paris,75005,Ile-de-France,3,Entire home/apt,1,1,1,160 ,40,500,4,30,22
100%,,1.00,48.84058,2.30353,Paris,75015,Ile-de-France,4,Entire home/apt,1,1,3,80 ,52,300,3,365,119
62%,,6.00,48.85459,2.36499,Paris,75004,Ile-de-France,5,Entire home/apt,2,1.5,0,320 ,,,3,60,141
100%,,7.00,48.8482,2.35281,Paris,75005,Ile-de-France,4,Entire home/apt,1,1,2,130 ,50,400,3,365,120
100%,,1.00,48.87188,2.35649,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,100 ,50,500,7,100,97
,,1.00,48.82896,2.35228,Paris,75013,Ile-de-France,5,Entire home/apt,3,1.5,4,225 ,,225,4,21,1
,,2.00,48.87338,2.37879,Paris,75019,Ile-de-France,2,Entire home/apt,1,1,2,60 ,25,300,2,1125,3
100%,,1.00,48.86347,2.34118,Paris,75001,Ile-de-France,2,Entire home/apt,0,1,1,95 ,50,300,2,400,172
100%,,3.00,48.8603,2.35387,Paris,75004,Ile-de-France,3,Entire home/apt,1,1.5,2,139 ,80,300,3,365,110
